Pareto Frontier;Inaccuracy;Time;NL;NF;lr;mom;Duration
1;90;1,411996774;4;[64, 128, 256];0,1;0,7;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;195,9608444
2;90;1,411996774;4;[64, 128, 256];0,1;0,7;
2;90;1,370205577;4;[64, 128, 256];0,1;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
3;90;1,370205577;4;[64, 128, 256];0,1;0,75;
3;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
4;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
4;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
5;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
5;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
6;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
6;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
7;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
7;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
8;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
8;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
8;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
9;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
9;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
9;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
10;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
10;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
10;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
11;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
11;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
11;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
12;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
12;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
12;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
13;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
13;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
13;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
14;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
14;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
14;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
15;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
15;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
15;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
16;45,62000275;1,375441693;4;[32, 64, 128];0,01;0,7;
16;46,67000198;1,358371116;4;[64, 128, 256];0,01;0,75;
16;48,80000305;1,35357992;4;[32, 64, 128, 256];0,01;0,75;
XXX;XXX;XXX;XXX;XXX;XXX;XXX;
